id,subject,sender,email_text,has_link,has_attachment,urgency_flag,label
289,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
290,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
291,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
292,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
293,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
294,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
295,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
296,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
297,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
298,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
299,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
300,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
301,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
302,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
303,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
304,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
305,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
306,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
307,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
308,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
309,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
310,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
311,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
312,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
313,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
314,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
315,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
316,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
317,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
318,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
319,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
320,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
321,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
322,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
323,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
324,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
325,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
326,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
327,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
328,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
329,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
330,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
331,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
332,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
333,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
334,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
335,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
336,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
337,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
338,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
339,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
340,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
341,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
342,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
343,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
344,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
345,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
346,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
347,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
348,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
349,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
350,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
351,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
352,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
353,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
354,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
355,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
356,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
357,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
358,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
359,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
360,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
361,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
362,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
363,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
364,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
365,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
366,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
367,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
368,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
369,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
370,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
371,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
372,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
373,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
374,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
375,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
376,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
377,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
378,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
379,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
380,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
381,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
382,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
383,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
384,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
385,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
386,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
387,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
388,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
389,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
390,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
391,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
392,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
393,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
394,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
395,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
396,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
397,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
398,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
399,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
400,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
401,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
402,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
403,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
404,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
405,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
406,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
407,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
408,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
409,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
410,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
411,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
412,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
413,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
414,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
415,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
416,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
417,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
418,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
419,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
420,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
421,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
422,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
423,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
424,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
425,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
426,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
427,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
428,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
429,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
430,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
431,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
432,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
433,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
434,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
435,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
436,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
437,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
438,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
439,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
440,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
441,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
442,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
443,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
444,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
445,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
446,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
447,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
448,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
449,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
450,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
451,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
452,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
453,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
454,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
455,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
456,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
457,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
458,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
459,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
460,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
461,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
462,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
463,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
464,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
465,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
466,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
467,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
468,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
469,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
470,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
471,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
472,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
473,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
474,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
475,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
476,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
477,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
478,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
479,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
480,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
481,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
482,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
483,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
484,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
485,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
486,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
487,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
488,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
489,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
490,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
491,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
492,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
493,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
494,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
495,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
496,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
497,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
498,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
499,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
500,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
501,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
502,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
503,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
504,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
505,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
506,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
507,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,0,0,legitimate
508,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
509,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
510,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
511,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
512,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
513,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
514,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
515,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
516,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
517,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
518,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
519,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
520,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
521,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
522,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
523,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
524,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
525,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
526,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
527,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
528,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,1,0,legitimate
529,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
530,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
531,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
532,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,1,0,legitimate
533,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
534,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
535,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,1,0,0,legitimate
536,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
537,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
538,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
539,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
540,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,1,0,legitimate
541,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
542,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
543,Monthly Report,admin@company.com,Please find attached the monthly report.,0,0,0,legitimate
544,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
545,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
546,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,1,1,phishing
547,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
548,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,1,0,0,legitimate
549,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,0,0,legitimate
550,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
551,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
552,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,1,0,legitimate
553,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
554,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
555,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
556,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
557,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
558,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
559,Monthly Report,admin@company.com,Please find attached the monthly report.,1,1,0,legitimate
560,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
561,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
562,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
563,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,1,1,phishing
564,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
565,Team Meeting Reminder,manager@company.com,Meeting scheduled for tomorrow at 10am.,0,0,0,legitimate
566,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,1,1,phishing
567,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,1,1,phishing
568,Monthly Report,admin@company.com,Please find attached the monthly report.,0,1,0,legitimate
569,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
570,BVN Update Required,noreply@fakebank.com,Urgent: Update your BVN immediately to avoid restriction.,1,0,1,phishing
571,Password Expiry Notice,it-support@securemail.com,"Dear user, your email password expires today. Reset now.",1,0,1,phishing
572,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,1,1,0,legitimate
573,Monthly Report,admin@company.com,Please find attached the monthly report.,1,0,0,legitimate
574,Account suspended alert,support@bank-secure.com,Your account has been suspended. Click link to verify now.,1,0,1,phishing
575,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
576,Order Delivered,sales@shop.com,Your order has been delivered. Thank you for shopping.,0,0,0,legitimate
577,Salary Payment Notification,hr@company.com,Your salary has been credited successfully.,0,1,0,legitimate
578,Congratulations Winner!,promo@lottery-ng.com,"You have won ??500,000. Click here to claim.",1,0,1,phishing
